"","id","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","reviews_per_month","calculated_host_listings_count","availability_365"
"1",2539,2,109,40.64749,-73.97237,2,149,1,9,0.21,6,365
"2",2595,3,128,40.75362,-73.98377,1,225,1,45,0.38,2,355
"3",3647,3,95,40.80902,-73.9419,2,150,3,0,1.37322142985866,1,365
"4",3831,2,42,40.68514,-73.95976,1,89,1,270,4.64,1,194
"5",5022,3,62,40.79851,-73.94399,1,80,10,9,0.1,1,0
"6",5099,3,138,40.74767,-73.975,1,200,3,74,0.59,1,129
"7",5121,2,14,40.68688,-73.95596,2,60,45,49,0.4,1,0
"8",5178,3,96,40.76489,-73.98493,2,79,2,430,3.47,1,220
"9",5203,3,203,40.80178,-73.96723,2,79,2,118,0.99,1,0
"10",5238,3,36,40.71344,-73.99037,1,150,1,160,1.33,4,188
"11",5295,3,203,40.80316,-73.96545,1,135,5,53,0.43,1,6
"12",5441,3,96,40.76076,-73.98867,2,85,2,188,1.5,1,39
"13",5803,2,183,40.66829,-73.98779,2,89,4,167,1.34,3,314
"14",6021,3,203,40.79826,-73.96113,2,85,2,113,0.91,1,333
"15",6090,3,210,40.7353,-74.00525,1,120,90,27,0.22,1,0
"16",6848,2,215,40.70837,-73.95352,1,140,2,148,1.2,1,46
"17",7097,2,81,40.69169,-73.97185,1,215,2,198,1.72,1,321
"18",7322,3,35,40.74192,-73.99501,2,140,1,260,2.12,1,12
"19",7726,2,52,40.67592,-73.94694,1,99,3,53,4.44,1,21
"20",7750,3,62,40.79685,-73.94872,1,190,7,0,1.37322142985866,2,249
"21",7801,2,215,40.71842,-73.95718,1,299,3,9,0.07,1,0
"22",8024,2,152,40.68069,-73.97706,2,130,2,130,1.09,6,347
"23",8025,2,152,40.67989,-73.97798,2,80,1,39,0.37,6,364
"24",8110,2,152,40.68001,-73.97865,2,110,2,71,0.61,6,304
"25",8490,2,14,40.68371,-73.94028,1,120,2,88,0.73,2,233
"26",8505,2,217,40.65599,-73.97519,2,60,1,19,1.37,2,85
